date,value1,value2,value3,value4,value5
2016-02-11,71370085.23335123,75631737.31199539,63468722.506525256,68059911.95060314,835642.15074725
2016-02-12,67714886.79186687,81580366.76578005,65454241.47638071,75300844.08609386,835642.15074725
2016-02-13,75942976.41035932,78801489.00338416,68713882.4692836,74060276.16032758,835642.15074725
2016-02-14,74306901.84846061,79598488.2612486,70454976.94578958,74126258.37754336,939283.69954777
2016-02-15,74294170.2889179,81318792.02291417,69219799.80578753,75571670.32364085,939283.69954777
2016-02-16,75391769.3554762,81142115.1423676,69911807.68739375,74028864.06909125,939283.69954777
2016-02-17,73662683.92237999,80643982.12789105,66912083.57925432,71032839.55233407,939283.69954777
2016-02-18,71894973.9431219,76158822.9658507,62753511.795064114,69526887.77758455,939283.69954777
2016-02-19,69229134.70333676,76371502.05055611,65551036.97408724,72011138.72591478,939283.69954777
2016-02-20,71651684.41476864,79393756.95295368,67126067.01485285,70565746.93971838,939283.69954777
2016-02-21,71185556.03445561,80107219.37050308,67139308.84113216,74232145.51738605,811166.0880786098
2016-02-22,74697867.6731892,77782136.49937707,69975579.81096074,75223606.06930844,811166.0880786098
2016-02-23,75258794.144135,79152511.994094,67086823.01790762,71176864.81189933,811166.0880786098
2016-02-24,71805277.46953847,75549896.53460422,67110803.08457848,72190378.24748997,811166.0880786098
2016-02-25,72029245.70885557,75093375.37925427,67337086.23713161,70518674.02711223,811166.0880786098
2016-02-26,70630924.69354393,73986278.22024769,66828041.88066426,71143885.13976431,811166.0880786098
2016-02-27,70239608.55722159,73803051.48102884,68192836.6480279,69742504.19575505,811166.0880786098
2016-02-28,70452790.11496668,72790218.57174283,66151851.93302328,69188533.08232158,500250.0743410401
2016-02-29,69298194.69780873,73260359.21065858,65802148.05008786,69550314.057176,500250.0743410401
2016-03-01,69138693.53142083,72828933.42820813,65381408.7722009,67742364.97614768,500250.0743410401
2016-03-02,68104036.21902913,71622825.02446485,64297773.187934145,67303513.49439315,500250.0743410401
2016-03-03,67239502.53065549,76728321.72715175,64563614.16258493,72733452.86502132,500250.0743410401
2016-03-04,72655511.09410414,78986369.67073928,67090881.95803034,71676451.06003715,500250.0743410401
2016-03-05,73001485.26021788,79658458.95494865,63976247.965721,71481336.93027449,500250.0743410401
2016-03-06,71359748.39210777,81584999.13232638,65753800.04923547,72365156.9810101,1400116.98206812
2016-03-07,71927441.6368741,78187561.96086937,66136207.86244835,71685491.76207745,1400116.98206812
2016-03-08,71298586.97366317,76162667.95242962,66659293.180330396,72835181.5321196,1400116.98206812
2016-03-09,72270163.28342277,77218074.56810865,69632417.42165093,73477048.36774085,1400116.98206812
2016-03-10,74201654.98219296,94359325.65221329,71626642.36769646,85665053.24400194,1400116.98206812
2016-03-11,86257353.0712525,94997755.13492571,79918989.4647329,86722774.77963962,1400116.98206812
2016-03-12,86222606.91382447,93184030.88993733,80292239.34206907,87125494.91023171,1400116.98206812
2016-03-13,86588167.5271221,96429193.95938233,83676217.16421013,90065315.60760786,2726494.761523049
2016-03-14,88727728.66716829,92892807.15390602,78596321.7594726,84727698.16929124,2726494.761523049
2016-03-15,83998051.25637026,90818373.02256326,80092926.07842909,86532508.65288842,2726494.761523049
2016-03-16,87016958.7011152,94966522.26015979,82190039.61422879,90239321.34892039,2726494.761523049
2016-03-17,90112938.75555205,92632424.08116244,80430914.265054,84885509.2893193,2726494.761523049
2016-03-18,84248429.93239231,88746348.03843977,75858227.78616643,82555219.73589763,2726494.761523049
2016-03-19,83250800.96898146,88860892.5386567,79752534.78569748,85208382.6482887,2726494.761523049
2016-03-20,83754123.76574041,88460469.19006705,80138619.48343195,84472932.28229085,1099337.1240857998
2016-03-21,84526743.42021047,90768435.22366478,80183225.70283027,85351965.68734011,1099337.1240857998
2016-03-22,85157452.55168067,89166191.57675284,82042192.83820468,85816159.17002514,1099337.1240857998
2016-03-23,86879359.46488115,92016478.71236394,82495497.81396277,89838681.9017009,1099337.1240857998
2016-03-24,90354605.9522521,97563591.21663299,85106858.50921598,94050797.29119083,1099337.1240857998
2016-03-25,94301390.55748527,102567296.42798805,88692876.55816673,98246065.3491374,1099337.1240857998
2016-03-26,97495003.47726722,100731111.15901914,92061462.07548034,97063650.5661892,1099337.1240857998
2016-03-27,97060289.60487033,100182716.07535851,89743717.89560056,93641461.88062634,2519436.93676465
2016-03-28,95047090.44246155,98894098.72983164,87474038.86453395,93964826.16492821,2519436.93676465
2016-03-29,94446668.68987596,104014238.55646598,88233295.32948944,98326984.55503294,2519436.93676465
2016-03-30,98221556.40711664,101273931.02088116,87800548.3657709,94657688.8756834,2519436.93676465
2016-03-31,94210092.12727396,99553898.83043733,90756486.10646631,94825498.83447842,2519436.93676465
2016-04-01,94944680.8007083,99559711.77927542,91304414.93153025,96194278.93781453,2519436.93676465
2016-04-02,96506365.03149155,109275496.9484556,93730539.32227899,99625139.07003537,2519436.93676465
2016-04-03,98738182.93065488,101960002.33220686,91826394.52416052,97877649.66207804,1259069.6336532298
2016-04-04,98586447.91987258,102275195.465438,94285369.64174849,97886552.53914744,1259069.6336532298
2016-04-05,96762971.65966342,102014869.57416496,93735292.6183401,96613468.30936578,1259069.6336532298
2016-04-06,96532037.95624489,99780313.0789591,93682255.7639808,94724128.28445132,1259069.6336532298
2016-04-07,94686768.41437635,97785241.42230399,91025774.34042631,92532798.734502,1259069.6336532298
2016-04-08,93346925.18042573,97187938.77481554,89843474.2229316,93670696.0479979,1259069.6336532298
2016-04-09,93495182.05098678,95398301.91651408,84900701.5575146,91872975.6319604,1259069.6336532298
2016-04-10,91453001.53680027,94132131.5876925,81808303.93439512,88213322.41323164,1014643.9509767498
2016-04-14,90121331.05577907,91373111.98551531,85658487.61787887,88869661.86533134,1014643.9509767498
2016-04-15,89057860.75407672,91906299.18192552,81974706.84676285,84738464.95806831,1014643.9509767498
2016-04-16,84729613.03628798,90629105.3355593,73555977.54560377,86694608.77753209,1014643.9509767498
