date,value1,value2,value3,value4,value5
2017-07-27,33802621902.87433,36442710030.48733,32359711455.712578,34331131359.59311,1690708301.7157195
2017-07-28,34194140806.963257,36290745751.03319,29767818389.146667,32047117069.96775,1690708301.7157195
2017-07-29,32002830080.864906,35013221761.752556,29022521504.209335,33489803676.67199,1690708301.7157195
2017-07-30,33660516300.28631,35003687982.54755,30130496119.64302,32032831299.20323,1324365835.6374462
2017-07-31,32140013802.51561,35016102768.79196,30137691802.954414,33713853635.702873,1324365835.6374462
2017-08-01,33679677913.21192,40061738039.47823,31102803098.125374,36803514620.43201,1324365835.6374462
2017-08-02,36789817767.50467,37924532306.69159,34233815133.819855,35316321876.59747,1324365835.6374462
2017-08-03,37053450414.222626,41487249475.021385,36191124640.91594,38530564201.03134,1324365835.6374462
2017-08-04,38445977057.20961,40357644088.22382,36429186738.92963,37813470605.85689,1324365835.6374462
2017-08-05,37773226422.7393,45101476954.5543,35216481665.07395,42728885596.837,1324365835.6374462
2017-08-06,45482183216.067444,48243473275.69822,43200594772.3219,45399627283.01947,2892406954.1053066
2017-08-07,45270104760.8022,51294993982.89534,43780337881.63268,49113879844.00064,2892406954.1053066
2017-08-08,49161809020.91234,54862570509.831245,46411042093.480515,52290032356.37676,2892406954.1053066
2017-08-09,52178633192.96372,55865938348.263695,46021511538.89892,49725158385.86044,2892406954.1053066
2017-08-10,49776371375.20952,55288686891.09019,47557824593.02026,50719859494.95531,2892406954.1053066
2017-08-11,50736873888.04314,56513270313.71323,48493884991.59657,53122963039.864624,2892406954.1053066
2017-08-12,53170907775.34917,58502284083.60739,49011265960.45739,52788871056.32732,2892406954.1053066
2017-08-13,52872586065.328606,57828235798.844284,45657293057.61223,51716266123.20221,2623750092.2362685
2017-08-14,51647314230.53638,58729444134.65471,47192573795.84634,52343570047.327225,2623750092.2362685
2017-08-15,52462559746.51482,56635782734.02951,43960703381.77027,50009721178.9928,2623750092.2362685
2017-08-16,50172095907.42067,56563186051.617935,46386534463.95677,51921557399.89966,2623750092.2362685
2017-08-17,51808073635.43692,57123084811.59961,48082756748.642456,52972224787.480774,2623750092.2362685
2017-08-18,52801147771.77135,64681032881.74039,48706570463.27234,58234923132.07216,2623750092.2362685
2017-08-19,58138477945.73454,63970255591.59157,52476600882.79436,57364795353.29304,2623750092.2362685
2017-08-20,57445567185.35853,62440783386.48807,54838257630.3571,58403672795.83624,5460509441.999641
